Facundo Bagnis,Mark Petchey,0.93,Yuichi Sugita,0.91,Chris Pridham,0.86,"[145.0, 140.0, 143.0]"
Todd Martin,Kim Warwick,0.88,Carlos Costa,0.87,Fabrice Santoro,0.76,[]
Mike Brunnberg,Noam Behr,1.0,Mario Visconti,1.0,Gerard Toulon,1.0,[]
Donald Young,Chuck Adams,0.25,Tobias Kamke,0.18,Sherwood Stewart,0.16,"[60.0, 165.0, 84.0]"
Ken Rosewall,Yannick Noah,0.66,Manuel Orantes,0.65,Roscoe Tanner,0.61,[]
Yahiya Doumbia,Blaz Rola,0.94,Ricki Osterthun,0.89,Francisco Yunis,0.83,[]
Scott Davis,Victor Amaya,0.85,Karol Kucera,0.75,Todd Woodbridge,0.7,[]
Albert Chang,Tomas Tenconi,0.98,Arvind Parmar,0.96,Woody Blocher,0.95,[]
Yuki Bhambri,John Paish,1.0,Marcello Craca,0.99,John Hayes,0.99,[]
Sergio Casal,Hans Jaochim Plotz,0.96,Tobias Kamke,0.91,Martin Damm,0.87,[]
Bjorn Borg,Stefan Edberg,0.94,Andy Murray,0.81,Novak Djokovic,0.79,[]
John Austin,Jean Louis Haillet,0.61,Stephane Robert,0.55,Ramon Delgado,0.52,[]
Borna Coric,Dmitry Tursunov,0.84,David Goffin,0.72,Milan Srejber,0.59,"[122.0, 29.0, 110.0]"
John Patrick Smith,Vladimir Korotkov,1.0,John Mattke,1.0,Conor Niland,1.0,[]
Goran Prpic,Greg Holmes,0.77,Gilbert Schaller,0.55,Peter Lundgren,0.32,[]
Daniel Orsanic,Gerard Solves,0.99,Tony Graham,0.98,Craig Wittus,0.96,[]
Wayne Hampson,Dominik Meffert,1.0,Steve Guy,0.99,Stephane Bonneau,0.99,[]
James Sekulov,Paul Baccanello,1.0,Mario Tabares,1.0,Hans Dieter Beutel,1.0,[]
Gael Monfils,Aaron Krickstein,0.47,Thomas Muster,0.4,Petr Korda,0.31,"[38.0, 9.0, 25.0]"
Juan Gisbert,James Blake,0.82,Andrea Gaudenzi,0.46,Bill Scanlon,0.42,[]
Wayne Odesnik,Norbert Gombos,0.93,Konstantinos Economidis,0.89,Adrian Garcia,0.84,[]
Premjit Lall,Ignacio Truyol,1.0,Terry Ryan,0.99,Rejean Genois,0.99,[]
Blaz Kavcic,Steve Darcis,0.95,Jaroslav Navratil,0.8,Andre Sa,0.78,"[164.0, 160.0, 86.0]"
John Millman,Illya Marchenko,0.98,Diego Nargiso,0.98,Alex Bogomolov Jr,0.96,"[165.0, 143.0, 94.0]"
Wojtek Kowalski,Thomas Fabbiano,1.0,Schalk Van Der Merwe,1.0,Roberto Vizcaino,1.0,[]
Rolf Norberg,Rick Fisher,0.88,Yoshihito Nishioka,0.8,Rik De Voest,0.78,[]
Nicolas Devilder,Anand Amritraj,0.96,Tatsuma Ito,0.94,Joaquin Loyo Mayo,0.88,[]
Giorgio Galimberti,Paul Capdeville,1.0,Stephane Huet,0.98,Gilles Elseneer,0.94,[]
Dominik Hrbaty,Tony Roche,0.73,Todd Martin,0.7,Sam Querrey,0.7,[]
Patrik Fredriksson,John Cooper,0.99,Branislav Stankovic,0.99,Carlos Gattiker,0.98,[]
Andre Sa,Edouard Roger Vasselin,0.98,Steve Darcis,0.97,Alex Obrien,0.94,[]
Diego Veronelli,Tomas Anzari,1.0,Ron Hightower,1.0,Massimo Valeri,1.0,[]
Bernard Tomic,Arnaud Boetsch,0.43,Andrei Medvedev,0.39,Magnus Gustafsson,0.35,"[30.0, 58.0, 156.0]"
Huub Van Boeckel,Luis Adrian Morejon,0.95,Juan Pablo Guzman,0.95,Bill Maze,0.94,[]
Peter Polansky,Brian Macphie,1.0,Yong Il Yoon,0.99,Sebastien De Chaunac,0.99,[]
Massimiliano Narducci,Jack Brasington,1.0,Peter Carlsson,0.99,Jaroslav Pospisil,0.99,[]
Paul Annacone,Julien Benneteau,0.95,Luiz Mattar,0.79,Denis Istomin,0.75,[]
Jose Luis Damiani,Guillaume Rufin,0.68,Jurgen Zopp,0.63,Fernando Roese,0.61,[]
Adrian Garcia,David Carter,0.96,Stefan Simonsson,0.86,Werner Zirngibl,0.85,[]
Slava Dosedel,Karl Meiler,0.63,Robin Haase,0.59,Horacio De La Pena,0.56,[]
Laurence Tieleman,Kris Goossens,0.92,Glenn Michibata,0.59,Robbie Weiss,0.55,[]
Peter Szoke,Scott Draper,1.0,Karol Beck,0.99,Jens Woehrmann,0.97,[]
Juan Balcells,Mike Estep,0.9,Mikhail Kukushkin,0.83,Francisco Gonzalez,0.71,[]
Jeff Tarango,Hernan Gumy,0.9,Mike De Palmer,0.84,Christophe Rochus,0.84,[]
Patrick Proisy,Yen Hsun Lu,0.94,Pavel Slozil,0.91,Thierry Tulasne,0.66,[]
Tony Giammalva,Olivier Delaitre,0.96,Jay Lapidus,0.93,Ismail El Shafei,0.93,[]
Balazs Taroczy,Heinz Gunthardt,0.7,Guy Forget,0.59,Jan Michael Gambill,0.55,[]
Tomas Zib,Paul Chamberlin,0.99,Eric Fromm,0.96,Josef Cihak,0.82,[]
Andrey Kuznetsov,Teymuraz Gabashvili,0.94,Mark Dickson,0.93,Damir Keretic,0.83,"[76.0, 67.0, 50.0]"
Alex Metreveli,Jerzy Janowicz,0.77,Pat Dupre,0.72,Paradorn Srichaphan,0.57,[]
Stephen Warboys,Gouichi Motomura,1.0,Frederic Vitoux,1.0,Dennis Ralston,1.0,[]
Mose Navarra,Nicklas Utgren,1.0,Karen Khachanov,1.0,Glenn Weiner,1.0,[]
Werner Eschauer,Daniel Munoz De La Nava,0.94,Wayne Odesnik,0.92,Barry Moir,0.91,[]
Colin Dowdeswell,Johan Van Herck,0.76,Lloyd Bourne,0.68,Claudio Pistolesi,0.68,[]
Antonio Zugarelli,Nicklas Kroon,0.84,Eduardo Bengoechea,0.84,Ivan Molina,0.73,[]
John Andrews,John Van Lottum,0.95,Leonardo Lavalle,0.92,Paul Kronk,0.81,[]
Hans Dieter Beutel,Paul Baccanello,1.0,Mario Tabares,1.0,James Sekulov,1.0,[]
Russell Simpson,Pieter Aldrich,0.91,Alexander Zverev,0.9,Marcos Ondruska,0.87,[]
Bjorn Phau,Stephane Robert,0.76,John James,0.73,Tom Leonard,0.71,[]
Potito Starace,John Fitzgerald,0.31,Bob Green,0.29,Juan Balcells,0.16,[]
Glenn Weiner,Nicklas Utgren,1.0,Mose Navarra,1.0,Karen Khachanov,1.0,[]
Pierre Hugues Herbert,Bernard Mignot,0.94,Lorenzo Manta,0.93,Lars Rehmann,0.92,"[153.0, 108.0, 169.0]"
