Alberto Tous
Boro Jovanovic
Victor Amaya
Michael Westphal
Marko Ostoja
Carlos Berlocq
Marcio Carlsson
Jaroslav Pospisil
Fred Mcnair
Peter Mcnamara
Andrew Castle
Howard Schoenfield
Stefano Pescosolido
Yevgeny Kafelnikov
Wilhelm Bungert
Mikael Pernfors
Luiz Mattar
Jan Michael Gambill
Razvan Sabau
Steve Krulevitz
Sebastien Grosjean
Rolf Gehring
Manuel Santana
Guillermo Vilas
Younes El Aynaoui
Michal Tabara
Fernando Verdasco
Federico Luzzi
Andrei Merinov
Alvaro Betancur
Victor Hanescu
Cyril Saulnier
Chris Dunk
Kjell Johansson
Guillermo Rivas
Karol Kucera
Chris Pridham
Bill Maze
Jeff Simpson
John Hayes
Max Hurlimann
Tamer El Sawy
Michael Grant
Bruce Foxworth
Francisco Montana
Roberto Jabali
Austin Krajicek
Stefan Simonsson
Ricardo Ycaza
Christer Allgardh
Johan Carlsson
Slobodan Zivojinovic
Claudio Pistolesi
Gouichi Motomura
Zan Guerry
Paul Vojtischek
Alvin Gardiner
Tom Nijssen
Hyeon Chung
Albert Costa
Jaime Oncins
Andy Roddick
Robert Smeets
Miguel Nido
John Whitlinger
Lleyton Hewitt
Andres Gomez
Sjeng Schalken
Mark Cox
Mark Buckley
Jiri Hrebec
Glenn Layendecker
Bernd Karbacher
Albert Ramos
German Puentes
Cedric Pioline
Tommy Ho
Roger Dowdeswell
Paul Haarhuis
Simone Bolelli
Mikael Tillstrom
Rick Fagel
Raul Ramirez
Thiago Alves
Pete Sampras
Omar Camporese
Chip Hooper
Thomaz Koch
Dick Dell
Carlos Costa
Frederic Niemeyer
Rick Leach
Igor Sijsling
Mike Leach
Eduardo Nicolas
Galo Blanco
Jai Dilouie
Federico Browne
Mark Kratzmann
Sasa Tuksar
Tim Garcia
Johan Kriek
Sergi Bruguera
Jean Francois Bachelot
Manuel Orantes
Corrado Barazzutti
Diego Perez
Joaquin Loyo Mayo
Lito Alvarez
Ivan Dupasquier
Thomas Muster
John Frawley
Sebastian Prieto
Martin Strelba
Javier Soler
Tim Henman
Olivier Rochus
Thomas Hogstedt
Han Jurgen Pohmann
Alexander Popp
Malek Jaziri
Alejandro Ganzabal
Adrian Voinea
Ramanathan Krishnan
Chris Woodruff
Carsten Arriens
Mario Ancic
Andrea Gaudenzi
Flavio Saretta
Mardy Fish
Ben Testerman
Arnaud Di Pasquale
Ruben Ramirez Hidalgo
Emilio Benfele Alvarez
German Lopez
Christo Van Rensburg
Hans Gildemeister
Ivo Heuberger
Florin Segarceanu
Jeff Turpin
Edwin Kempes
Chris Garner
Adriano Panatta
Massimo Cierro
Francisco Roig
Agustin Moreno
Emilio Sanchez
Wayne Arthurs
Juan Ignacio Chela
Lars Burgsmuller
Jeff Austin
Olivier Patience
Alex Lopez Moron
Steve Darcis
Paul Chamberlin
Wanaro Ngodrella
Dick Norman
Peter Wessels
Alex Corretja
Francesco Aldi
Martin Fischer
Florent Serra
Tomas Nydahl
Geoff Masters
David Ferrer
KJ Hippensteel
Brad Pearce
Rolf Thung
Mark Draper
Massimo Valeri
Matt Doyle
Jean Christophe Faurel
Ilie Nastase
Sashi Menon
Mikhail Kukushkin
Roko Karanusic
Scott Draper
Juan Monaco
Edoardo Mazza
George Hardie
Kenny Thorne
Jeremy Chardy
Santiago Ventura
Doug Crawford
Damir Dzumhur
Mike Machette
Robert Lutz
Gene Mayer
Hicham Arazi
Victor Crivoi
Maxime Teixeira
Hans Podlipnik Castillo
Roger Guedes
Saketh Myneni
Boris Pashanski
Marcos Daniel
Lorenzo Manta
